time,Msg Type,Time Stamp,Message Type,Order Reference,Buy/Sell Indicator,Shares,Price Decimal,Price,Stock,Broker,Executed Shares,Trade Reference,Contra Order Reference,Trade Attribute,Contra Broker,Cancelled Shares,Cross Type,Settlement Terms,Event Code,Trading State,Listing Market,Board Lot Size,Currency,GEF Eligible
2020-01-30 09:30:01.016000000,Add Order,1580394601016000000,A,73821,B,2000.0,25.17,251700.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.747000000,Add Order,1580394602747000000,A,99157,S,1500.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.747000000,Add Order,1580394602747000000,A,99163,S,400.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:03.959000000,Order Execution,1580394603959000000,E,73821,,,,,,1.0,700.0,3001664.0,111276.0,,79.0,,,,,,,,,
2020-01-30 09:30:03.959000000,Add Order,1580394603959000000,A,111290,S,1500.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.104000000,Add Order,1580394604104000000,A,113200,S,1500.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.151000000,Add Order,1580394604151000000,A,113442,S,1500.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.943000000,Add Order,1580394604943000000,A,119908,S,1500.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.963000000,Add Order,1580394604963000000,A,120247,S,1500.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.446000000,Add Order,1580394607446000000,A,138961,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.719000000,Add Order,1580394607719000000,A,141597,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:14.142000000,Add Order,1580394614142000000,A,184497,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:14.142000000,Add Order,1580394614142000000,A,184498,S,3000.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:14.142000000,Add Order,1580394614142000000,A,184497,S,1500.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:21.015000000,Add Order,1580394621015000000,A,230751,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:21.605000000,Add Order,1580394621605000000,A,234877,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:27.529000000,Add Order,1580394627529000000,A,277126,B,1500.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:27.636000000,Add Order,1580394627636000000,A,278290,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:27.636000000,Add Order,1580394627636000000,A,278295,B,1500.0,25.18,251800.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:27.737000000,Add Order,1580394627737000000,A,279026,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:27.838000000,Add Order,1580394627838000000,A,279428,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:27.939000000,Add Order,1580394627939000000,A,279995,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:28.040000000,Add Order,1580394628040000000,A,280671,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:29.318000000,Add Order,1580394629318000000,A,289778,S,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:29.729000000,Add Order,1580394629729000000,A,292359,B,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:31.174000000,Add Order,1580394631174000000,A,303011,B,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:31.246000000,Add Order,1580394631246000000,A,304415,B,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:31.246000000,Add Order,1580394631246000000,A,304415,B,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:31.637000000,Add Order,1580394631637000000,A,307218,S,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:39.944000000,Add Order,1580394639944000000,A,363196,S,1500.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:39.986000000,Add Order,1580394639986000000,A,363660,S,1500.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:39.986000000,Add Order,1580394639986000000,A,363196,S,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:39.986000000,Add Order,1580394639986000000,A,363660,S,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:40.451000000,Order Execution,1580394640451000000,E,363196,,,,,,1.0,700.0,3003792.0,367954.0,,80.0,,,,,,,,,
2020-01-30 09:30:40.452000000,Order Execution,1580394640452000000,E,363660,,,,,,1.0,1500.0,3003794.0,367992.0,,80.0,,,,,,,,,
2020-01-30 09:30:46.417000000,Add Order,1580394646417000000,A,411645,B,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:46.419000000,Add Order,1580394646419000000,A,411747,B,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:46.538000000,Add Order,1580394646538000000,A,411645,B,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:46.538000000,Add Order,1580394646538000000,A,411747,B,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:50.622000000,Order Execution,1580394650622000000,E,411645,,,,,,1.0,500.0,3004264.0,436057.0,,1.0,,,,,,,,,
2020-01-30 09:30:58.795000000,Add Order,1580394658795000000,A,491512,B,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:58.803000000,Add Order,1580394658803000000,A,491883,B,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:30:58.898000000,Add Order,1580394658898000000,A,492867,B,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:00.507000000,Add Order,1580394660507000000,A,491512,B,1500.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:00.507000000,Add Order,1580394660507000000,A,491883,B,1500.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:00.507000000,Add Order,1580394660507000000,A,492867,B,1500.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:03.866000000,Add Order,1580394663866000000,A,538463,B,1500.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:04.170000000,Add Order,1580394664170000000,A,541228,B,1500.0,25.22,252200.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:06.597000000,Add Order,1580394666597000000,A,561624,B,1500.0,25.22,252200.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:06.831000000,Add Order,1580394666831000000,A,564325,B,1500.0,25.22,252200.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:06.832000000,Add Order,1580394666832000000,A,564330,S,1500.0,25.23,252300.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:06.832000000,Add Order,1580394666832000000,A,564330,S,1500.0,25.22,252200.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:08.487000000,Add Order,1580394668487000000,A,575778,S,1500.0,25.22,252200.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:17.360000000,Add Order,1580394677360000000,A,630984,S,1500.0,25.23,252300.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:17.542000000,Add Order,1580394677542000000,A,632785,S,1500.0,25.22,252200.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:22.518000000,Add Order,1580394682518000000,A,663583,S,1500.0,25.22,252200.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:22.973000000,Add Order,1580394682973000000,A,663583,S,1500.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:22.974000000,Add Order,1580394682974000000,A,665958,S,1500.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:28.464000000,Add Order,1580394688464000000,A,700928,S,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:28.470000000,Add Order,1580394688470000000,A,701188,S,7000.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:33.547000000,Add Order,1580394693547000000,A,733202,S,7000.0,25.22,252200.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:33.547000000,Add Order,1580394693547000000,A,733211,S,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:34.366000000,Add Order,1580394694366000000,A,738154,B,1500.0,25.19,251900.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:34.415000000,Add Order,1580394694415000000,A,738720,B,1500.0,25.2,252000.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:49.333000000,Add Order,1580394709333000000,A,817447,S,7000.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
2020-01-30 09:31:49.551000000,Add Order,1580394709551000000,A,818448,S,7000.0,25.21,252100.0,XIU,1.0,,,,,,,,,,,,,,
