time,Msg Type,Time Stamp,Message Type,Order Reference,Buy/Sell Indicator,Shares,Price Decimal,Price,Stock,Broker,Executed Shares,Trade Reference,Contra Order Reference,Trade Attribute,Contra Broker,Cancelled Shares,Cross Type,Settlement Terms,Event Code,Trading State,Listing Market,Board Lot Size,Currency,GEF Eligible
2020-01-30 09:30:58.966000000,Add Order,1580394658966000000,A,493497,S,5600.0,25.23,252300.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:30:58.966000000,Add Order,1580394658966000000,A,493498,B,5600.0,25.17,251700.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:30:58.966000000,Add Order,1580394658966000000,A,493499,S,5600.0,25.24,252400.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:30:58.966000000,Add Order,1580394658966000000,A,493500,B,5600.0,25.16,251600.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:30:58.966000000,Add Order,1580394658966000000,A,493501,S,5600.0,25.25,252500.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:30:58.967000000,Add Order,1580394658967000000,A,493504,B,5600.0,25.15,251500.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:30:58.967000000,Add Order,1580394658967000000,A,493505,S,5600.0,25.26,252600.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:30:58.967000000,Add Order,1580394658967000000,A,493506,B,5600.0,25.14,251400.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:03.084000000,Add Order,1580394663084000000,A,493506,B,5600.0,25.18,251800.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:03.484000000,Add Order,1580394663484000000,A,493497,S,5600.0,25.27,252700.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:03.935000000,Add Order,1580394663935000000,A,493506,B,5600.0,25.14,251400.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:03.936000000,Add Order,1580394663936000000,A,493506,B,5600.0,25.18,251800.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:05.750000000,Add Order,1580394665750000000,A,493506,B,5600.0,25.14,251400.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:06.461000000,Add Order,1580394666461000000,A,493506,B,5600.0,25.18,251800.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:06.723000000,Add Order,1580394666723000000,A,493506,B,5600.0,25.14,251400.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:11.324000000,Add Order,1580394671324000000,A,493506,B,5600.0,25.18,251800.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:11.836000000,Add Order,1580394671836000000,A,493506,B,5600.0,25.14,251400.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:13.025000000,Add Order,1580394673025000000,A,493506,B,5600.0,25.18,251800.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:13.734000000,Add Order,1580394673734000000,A,493506,B,5600.0,25.14,251400.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:14.461000000,Add Order,1580394674461000000,A,493506,B,5600.0,25.18,251800.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:14.669000000,Add Order,1580394674669000000,A,493499,S,5600.0,25.28,252800.0,XIU,9.0,,,,,,,,,,,,,,
2020-01-30 09:31:16.201000000,Add Order,1580394676201000000,A,493499,S,5600.0,25.24,252400.0,XIU,9.0,,,,,,,,,,,,,,
