time,Msg Type,Time Stamp,Message Type,Order Reference,Buy/Sell Indicator,Shares,Price Decimal,Price,Stock,Broker,Executed Shares,Trade Reference,Contra Order Reference,Trade Attribute,Contra Broker,Cancelled Shares,Cross Type,Settlement Terms,Event Code,Trading State,Listing Market,Board Lot Size,Currency,GEF Eligible
2020-01-30 09:30:00.015000000,Add Order,1580394600015000000,A,53418,B,29700.0,24.15,241500.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.015000000,Add Order,1580394600015000000,A,53419,S,29700.0,26.17,261700.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.017000000,Add Order,1580394600017000000,A,53766,S,29700.0,26.18,261800.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.017000000,Add Order,1580394600017000000,A,53768,B,29700.0,24.14,241400.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.166000000,Add Order,1580394600166000000,A,58071,B,29700.0,25.15,251500.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.166000000,Add Order,1580394600166000000,A,58072,S,29700.0,25.19,251900.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.169000000,Add Order,1580394600169000000,A,58149,S,29700.0,25.2,252000.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.169000000,Add Order,1580394600169000000,A,58150,B,29700.0,25.14,251400.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.183000000,Add Order,1580394600183000000,A,58513,S,29700.0,25.21,252100.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.213000000,Add Order,1580394600213000000,A,59050,B,2000.0,25.09,250900.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.213000000,Add Order,1580394600213000000,A,59051,S,2000.0,25.35,253500.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.214000000,Add Order,1580394600214000000,A,59121,B,2000.0,25.08,250800.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.214000000,Add Order,1580394600214000000,A,59122,S,2000.0,25.36,253600.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.215000000,Add Order,1580394600215000000,A,59189,B,2000.0,25.07,250700.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.215000000,Add Order,1580394600215000000,A,59191,S,2000.0,25.37,253700.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.315000000,Add Order,1580394600315000000,A,61283,S,29700.0,25.19,251900.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.337000000,Add Order,1580394600337000000,A,61564,B,800.0,25.16,251600.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.340000000,Add Order,1580394600340000000,A,61625,B,19800.0,25.17,251700.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.340000000,Add Order,1580394600340000000,A,61626,S,29700.0,25.19,251900.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.340000000,Add Order,1580394600340000000,A,53768,B,19800.0,24.14,241400.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.343000000,Add Order,1580394600343000000,A,61661,B,29700.0,25.16,251600.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.343000000,Add Order,1580394600343000000,A,53418,B,19800.0,24.15,241500.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.366000000,Add Order,1580394600366000000,A,61625,B,9900.0,25.17,251700.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.368000000,Add Order,1580394600368000000,A,62001,B,9900.0,25.17,251700.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.446000000,Add Order,1580394600446000000,A,63325,B,19800.0,25.17,251700.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.448000000,Add Order,1580394600448000000,A,63364,B,29700.0,25.16,251600.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.663000000,Add Order,1580394600663000000,A,66984,B,9900.0,25.17,251700.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.666000000,Add Order,1580394600666000000,A,67027,B,29700.0,25.16,251600.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.715000000,Add Order,1580394600715000000,A,68030,S,2000.0,25.3,253000.0,XIU,79.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.715000000,Add Order,1580394600715000000,A,68032,B,2000.0,25.04,250400.0,XIU,79.0,,,,,,,,,,,,,,
