time,Msg Type,Time Stamp,Message Type,Order Reference,Buy/Sell Indicator,Shares,Price Decimal,Price,Stock,Broker,Executed Shares,Trade Reference,Contra Order Reference,Trade Attribute,Contra Broker,Cancelled Shares,Cross Type,Settlement Terms,Event Code,Trading State,Listing Market,Board Lot Size,Currency,GEF Eligible
2020-01-30 11:01:58.836000000,Add Order,1580400118836000000,A,28447195,B,2000.0,25.01,250100.0,XIU,33.0,,,,,,,,,,,,,,
2020-01-30 11:03:04.385000000,Order Execution,1580400184385000000,E,28447195,,,,,,33.0,2000.0,3197599.0,28807139.0,,80.0,,,,,,,,,
2020-01-30 11:09:31.040000000,Add Order,1580400571040000000,A,31058613,B,2000.0,24.91,249100.0,XIU,33.0,,,,,,,,,,,,,,
2020-01-30 14:56:58.113000000,Add Order,1580414218113000000,A,90605190,B,3000.0,24.78,247800.0,XIU,33.0,,,,,,,,,,,,,,
2020-01-30 14:58:31.767000000,Add Order,1580414311767000000,A,90904049,B,3000.0,24.78,247800.0,XIU,33.0,,,,,,,,,,,,,,
2020-01-30 15:01:34.361000000,Add Order,1580414494361000000,A,91679844,B,1000.0,24.77,247700.0,XIU,33.0,,,,,,,,,,,,,,
2020-01-30 15:01:50.946000000,Order Execution,1580414510946000000,E,91679844,,,,,,33.0,1000.0,3560653.0,91757378.0,,80.0,,,,,,,,,
2020-01-30 15:02:07.543000000,Add Order,1580414527543000000,A,91838375,B,1000.0,24.76,247600.0,XIU,33.0,,,,,,,,,,,,,,
2020-01-30 15:02:23.566000000,Order Execution,1580414543566000000,E,91838375,,,,,,33.0,1000.0,3561449.0,91900706.0,,80.0,,,,,,,,,
2020-01-30 15:02:31.752000000,Add Order,1580414551752000000,A,91929453,B,1000.0,24.75,247500.0,XIU,33.0,,,,,,,,,,,,,,
