time,Msg Type,Time Stamp,Message Type,Order Reference,Buy/Sell Indicator,Shares,Price Decimal,Price,Stock,Broker,Executed Shares,Trade Reference,Contra Order Reference,Trade Attribute,Contra Broker,Cancelled Shares,Cross Type,Settlement Terms,Event Code,Trading State,Listing Market,Board Lot Size,Currency,GEF Eligible
2020-01-30 11:17:38.750000000,Add Order,1580401058750000000,A,33934970,S,100.0,24.89,248900.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:17:38.909000000,Add Order,1580401058909000000,A,33934970,S,700.0,24.88,248800.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:17:40.756000000,Add Order,1580401060756000000,A,33934970,S,700.0,24.88,248800.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:17:49.496000000,Add Order,1580401069496000000,A,33934970,S,700.0,24.88,248800.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:18:04.946000000,Add Order,1580401084946000000,A,33934970,S,1200.0,24.88,248800.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:18:04.974000000,Add Order,1580401084974000000,A,34113917,S,100.0,24.87,248700.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:20:03.005000000,Add Order,1580401203005000000,A,35174513,S,100.0,24.79,247900.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:20:08.612000000,Order Execution,1580401208612000000,E,35174513,,,,,,53.0,100.0,3240916.0,35242778.0,,79.0,,,,,,,,,
2020-01-30 11:22:07.232000000,Add Order,1580401327232000000,A,36503587,S,100.0,24.8,248000.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:22:14.668000000,Order Execution,1580401334668000000,E,36503587,,,,,,53.0,100.0,3249432.0,36578252.0,,79.0,,,,,,,,,
2020-01-30 11:24:02.331000000,Add Order,1580401442331000000,A,37477494,S,100.0,24.83,248300.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:24:06.972000000,Order Execution,1580401446972000000,E,37477494,,,,,,53.0,100.0,3254435.0,37510604.0,,79.0,,,,,,,,,
2020-01-30 11:28:16.342000000,Add Order,1580401696342000000,A,39120764,S,100.0,24.84,248400.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:32:47.642000000,Add Order,1580401967642000000,A,41042091,S,100.0,24.87,248700.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 11:33:12.690000000,Add Order,1580401992690000000,A,41042091,S,100.0,24.86,248600.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:35:21.876000000,Add Order,1580412921876000000,A,86349089,S,100.0,24.86,248600.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:35:32.929000000,Add Order,1580412932929000000,A,86349089,S,100.0,24.86,248600.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:35:35.317000000,Order Execution,1580412935317000000,E,86349089,,,,,,53.0,100.0,3526487.0,86393488.0,,1.0,,,,,,,,,
2020-01-30 14:35:35.317000000,Add Order,1580412935317000000,A,86393489,S,100.0,24.86,248600.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:35:35.318000000,Order Execution,1580412935318000000,E,86393489,,,,,,53.0,100.0,3526488.0,86393501.0,,1.0,,,,,,,,,
2020-01-30 14:39:34.438000000,Add Order,1580413174438000000,A,87232644,S,100.0,24.87,248700.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:41:13.650000000,Add Order,1580413273650000000,A,87608730,S,100.0,24.85,248500.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:41:51.815000000,Order Execution,1580413311815000000,E,87608730,,,,,,53.0,100.0,3534315.0,87748842.0,,79.0,,,,,,,,,
2020-01-30 14:41:51.815000000,Add Order,1580413311815000000,A,87748843,S,100.0,24.85,248500.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:41:51.816000000,Order Execution,1580413311816000000,E,87748843,,,,,,53.0,100.0,3534318.0,87748873.0,,79.0,,,,,,,,,
2020-01-30 14:42:02.788000000,Add Order,1580413322788000000,A,87779105,S,100.0,24.85,248500.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:43:57.059000000,Add Order,1580413437059000000,A,87779105,S,100.0,24.84,248400.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:44:40.182000000,Order Execution,1580413480182000000,E,87779105,,,,,,53.0,100.0,3537602.0,88310222.0,,79.0,,,,,,,,,
2020-01-30 14:44:40.182000000,Add Order,1580413480182000000,A,88310223,S,100.0,24.84,248400.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:44:40.183000000,Order Execution,1580413480183000000,E,88310223,,,,,,53.0,100.0,3537603.0,88310232.0,,1.0,,,,,,,,,
2020-01-30 14:49:37.989000000,Add Order,1580413777989000000,A,89264795,S,100.0,24.82,248200.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:49:57.455000000,Order Execution,1580413797455000000,E,89264795,,,,,,53.0,100.0,3543406.0,89320783.0,,79.0,,,,,,,,,
2020-01-30 14:49:57.455000000,Add Order,1580413797455000000,A,89320784,S,100.0,24.82,248200.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:50:11.512000000,Order Execution,1580413811512000000,E,89320784,,,,,,53.0,100.0,3543658.0,89357787.0,,79.0,,,,,,,,,
2020-01-30 14:54:42.527000000,Add Order,1580414082527000000,A,90151795,S,100.0,24.81,248100.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:55:26.971000000,Add Order,1580414126971000000,A,90151795,S,100.0,24.8,248000.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:56:11.998000000,Add Order,1580414171998000000,A,90151795,S,100.0,24.79,247900.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:56:32.234000000,Add Order,1580414192234000000,A,90531726,S,100.0,24.78,247800.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:56:52.621000000,Order Execution,1580414212621000000,E,90531726,,,,,,53.0,100.0,3553837.0,90589304.0,,1.0,,,,,,,,,
2020-01-30 14:57:37.448000000,Add Order,1580414257448000000,A,90727809,S,100.0,24.79,247900.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:57:55.881000000,Add Order,1580414275881000000,A,90785445,S,100.0,24.78,247800.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 14:57:56.651000000,Order Execution,1580414276651000000,E,90785445,,,,,,53.0,100.0,3555235.0,90787952.0,,1.0,,,,,,,,,
2020-01-30 15:00:54.984000000,Add Order,1580414454984000000,A,91507926,S,100.0,24.79,247900.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 15:02:36.283000000,Add Order,1580414556283000000,A,91951096,S,100.0,24.77,247700.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 15:02:56.974000000,Add Order,1580414576974000000,A,92046015,S,100.0,24.76,247600.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 15:03:05.310000000,Order Execution,1580414585310000000,E,92046015,,,,,,53.0,100.0,3562749.0,92078144.0,,1.0,,,,,,,,,
2020-01-30 15:03:05.310000000,Add Order,1580414585310000000,A,92078147,S,100.0,24.76,247600.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 15:03:05.310000000,Order Execution,1580414585310000000,E,92078147,,,,,,53.0,100.0,3562750.0,92078194.0,,1.0,,,,,,,,,
2020-01-30 15:04:07.427000000,Add Order,1580414647427000000,A,92324600,S,100.0,24.77,247700.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 15:06:29.695000000,Add Order,1580414789695000000,A,92909702,S,100.0,24.74,247400.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 15:06:42.338000000,Order Execution,1580414802338000000,E,92909702,,,,,,53.0,100.0,3568691.0,92958482.0,,1.0,,,,,,,,,
2020-01-30 15:06:49.701000000,Add Order,1580414809701000000,A,93007721,S,100.0,24.74,247400.0,XIU,53.0,,,,,,,,,,,,,,
2020-01-30 15:06:49.959000000,Order Execution,1580414809959000000,E,93007721,,,,,,53.0,100.0,3569424.0,93008739.0,,79.0,,,,,,,,,
