time,Msg Type,Time Stamp,Message Type,Order Reference,Buy/Sell Indicator,Shares,Price Decimal,Price,Stock,Broker,Executed Shares,Trade Reference,Contra Order Reference,Trade Attribute,Contra Broker,Cancelled Shares,Cross Type,Settlement Terms,Event Code,Trading State,Listing Market,Board Lot Size,Currency,GEF Eligible
2020-01-30 09:30:00.010000000,Add Order,1580394600010000000,A,52794,B,7900.0,25.15,251500.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.010000000,Add Order,1580394600010000000,A,52811,S,15900.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.563000000,Add Order,1580394606563000000,A,133517,B,7900.0,25.18,251800.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.563000000,Add Order,1580394606563000000,A,133528,S,15900.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.564000000,Add Order,1580394606564000000,A,133553,B,8000.0,25.18,251800.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.661000000,Add Order,1580394606661000000,A,133920,S,1100.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.804000000,Add Order,1580394606804000000,A,134476,B,8000.0,25.18,251800.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.862000000,Add Order,1580394606862000000,A,135029,B,1100.0,25.18,251800.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.927000000,Add Order,1580394606927000000,A,135461,S,1100.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.928000000,Add Order,1580394606928000000,A,135485,B,8000.0,25.18,251800.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.945000000,Add Order,1580394606945000000,A,135637,S,1100.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.131000000,Add Order,1580394607131000000,A,136832,B,8000.0,25.18,251800.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.317000000,Add Order,1580394607317000000,A,138109,B,1100.0,25.18,251800.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.436000000,Add Order,1580394607436000000,A,138671,S,1100.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.444000000,Add Order,1580394607444000000,A,138895,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.445000000,Add Order,1580394607445000000,A,138920,B,7900.0,25.18,251800.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.445000000,Add Order,1580394607445000000,A,138932,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.469000000,Add Order,1580394607469000000,A,139529,S,23700.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.485000000,Add Order,1580394607485000000,A,139897,S,16000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.717000000,Add Order,1580394607717000000,A,141583,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.885000000,Add Order,1580394607885000000,A,142509,S,15700.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:07.938000000,Add Order,1580394607938000000,A,142919,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:08.309000000,Add Order,1580394608309000000,A,145343,S,23700.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:08.919000000,Add Order,1580394608919000000,A,149790,S,15700.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:09.014000000,Add Order,1580394609014000000,A,150455,S,15700.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:09.119000000,Add Order,1580394609119000000,A,151524,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:09.372000000,Add Order,1580394609372000000,A,153434,S,23700.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:10.097000000,Add Order,1580394610097000000,A,158556,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:10.121000000,Add Order,1580394610121000000,A,159220,S,23700.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:10.255000000,Add Order,1580394610255000000,A,160830,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:10.277000000,Add Order,1580394610277000000,A,161251,S,23700.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:10.865000000,Add Order,1580394610865000000,A,165893,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:10.956000000,Add Order,1580394610956000000,A,166385,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:11.140000000,Add Order,1580394611140000000,A,167330,S,23700.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:11.180000000,Add Order,1580394611180000000,A,167665,S,8000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
2020-01-30 09:30:11.471000000,Add Order,1580394611471000000,A,169700,S,16000.0,25.21,252100.0,XIU,80.0,,,,,,,,,,,,,,
