time,Msg Type,Time Stamp,Message Type,Order Reference,Buy/Sell Indicator,Shares,Price Decimal,Price,Stock,Broker,Executed Shares,Trade Reference,Contra Order Reference,Trade Attribute,Contra Broker,Cancelled Shares,Cross Type,Settlement Terms,Event Code,Trading State,Listing Market,Board Lot Size,Currency,GEF Eligible
2020-01-30 09:30:00.970000000,Add Order,1580394600970000000,A,72877,S,8000.0,25.23,252300.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.970000000,Add Order,1580394600970000000,A,72878,B,8000.0,25.1,251000.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.970000000,Add Order,1580394600970000000,A,72880,S,8000.0,25.22,252200.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:00.970000000,Add Order,1580394600970000000,A,72883,B,8000.0,25.11,251100.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:01.006000000,Add Order,1580394601006000000,A,73496,B,8000.0,25.12,251200.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:01.043000000,Add Order,1580394601043000000,A,74578,B,8000.0,25.1,251000.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:01.098000000,Add Order,1580394601098000000,A,75583,B,8000.0,25.12,251200.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.234000000,Add Order,1580394602234000000,A,93214,B,8000.0,25.1,251000.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.349000000,Add Order,1580394602349000000,A,94733,S,8000.0,25.21,252100.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.411000000,Add Order,1580394602411000000,A,95376,B,8000.0,25.12,251200.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.571000000,Add Order,1580394602571000000,A,97471,B,8000.0,25.12,251200.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.571000000,Add Order,1580394602571000000,A,97474,B,8000.0,25.1,251000.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:02.755000000,Add Order,1580394602755000000,A,99251,S,8000.0,25.23,252300.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:03.584000000,Add Order,1580394603584000000,A,107957,S,8000.0,25.21,252100.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:03.806000000,Add Order,1580394603806000000,A,109924,B,8000.0,25.1,251000.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.194000000,Add Order,1580394604194000000,A,113845,S,8000.0,25.23,252300.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.419000000,Add Order,1580394604419000000,A,115580,B,8000.0,25.1,251000.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:04.956000000,Add Order,1580394604956000000,A,120096,S,8000.0,25.22,252200.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:05.001000000,Add Order,1580394605001000000,A,120749,B,8000.0,25.12,251200.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:05.003000000,Add Order,1580394605003000000,A,120823,S,8000.0,25.21,252100.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:05.605000000,Add Order,1580394605605000000,A,126625,B,8000.0,25.12,251200.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:05.605000000,Add Order,1580394605605000000,A,126631,B,8000.0,25.1,251000.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:05.610000000,Add Order,1580394605610000000,A,126783,S,8000.0,25.2,252000.0,XIU,2.0,,,,,,,,,,,,,,
2020-01-30 09:30:06.305000000,Add Order,1580394606305000000,A,131395,S,8000.0,25.23,252300.0,XIU,2.0,,,,,,,,,,,,,,
