time,Msg Type,Time Stamp,Message Type,Order Reference,Buy/Sell Indicator,Shares,Price Decimal,Price,Stock,Broker,Executed Shares,Trade Reference,Contra Order Reference,Trade Attribute,Contra Broker,Cancelled Shares,Cross Type,Settlement Terms,Event Code,Trading State,Listing Market,Board Lot Size,Currency,GEF Eligible
2020-01-30 11:04:43.418000000,Add Order,1580400283418000000,A,29327156,B,2600.0,24.96,249600.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 11:08:09.054000000,Order Execution,1580400489054000000,E,29327156,,,,,,85.0,2600.0,3208139.0,30550584.0,,80.0,,,,,,,,,
2020-01-30 11:08:11.113000000,Add Order,1580400491113000000,A,30573763,B,2400.0,24.95,249500.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 11:08:19.139000000,Order Execution,1580400499139000000,E,30573763,,,,,,85.0,2400.0,3208667.0,30620704.0,,80.0,,,,,,,,,
2020-01-30 11:08:57.178000000,Add Order,1580400537178000000,A,30849984,B,600.0,24.92,249200.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 11:09:04.715000000,Add Order,1580400544715000000,A,30897814,B,600.0,24.93,249300.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 11:09:04.734000000,Add Order,1580400544734000000,A,30897939,B,700.0,24.93,249300.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 11:09:17.058000000,Add Order,1580400557058000000,A,30977568,B,700.0,24.94,249400.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 11:09:25.257000000,Order Execution,1580400565257000000,E,30977568,,,,,,85.0,700.0,3211479.0,31025772.0,,80.0,,,,,,,,,
2020-01-30 11:23:32.819000000,Add Order,1580401412819000000,A,37259556,B,100.0,24.8,248000.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 11:23:33.951000000,Order Execution,1580401413951000000,E,37259556,,,,,,85.0,100.0,3253033.0,37264577.0,,1.0,,,,,,,,,
2020-01-30 13:05:41.264000000,Add Order,1580407541264000000,A,65915147,S,200.0,24.82,248200.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 13:05:42.927000000,Add Order,1580407542927000000,A,65922903,S,200.0,24.81,248100.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 13:06:05.486000000,Order Execution,1580407565486000000,E,65922903,,,,,,85.0,200.0,3406177.0,66028096.0,,1.0,,,,,,,,,
2020-01-30 13:08:10.197000000,Add Order,1580407690197000000,A,66534993,S,100.0,24.83,248300.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 13:08:29.056000000,Order Execution,1580407709056000000,E,66534993,,,,,,85.0,100.0,3409070.0,66603544.0,,1.0,,,,,,,,,
2020-01-30 13:16:41.073000000,Add Order,1580408201073000000,A,68590224,S,300.0,24.86,248600.0,XIU,85.0,,,,,,,,,,,,,,
2020-01-30 13:19:17.267000000,Add Order,1580408357267000000,A,69170902,S,200.0,24.83,248300.0,XIU,85.0,,,,,,,,,,,,,,
